 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1665,465,M,white,Customer Service,bach,3,4,North Attleboro,suburban,2760,MA,41.9725026,-71.3352028,North Attleboro,suburban,2760,MA,41.9725026,-71.3352028,North Attleboro,2760.0,MA,2016_10_6_15_CcEva,yes,MechanicalTurkProject,41.9841334,-71.3322798
1666,466,M,white,Security Guard,somecoll,5,3,Bridgeport,urban,6604,CT,41.1829197,-73.2080265,Bridgeport,suburban,6606,CT,41.2121097,-73.2066729,Bridgeport,6606.0,CT,2016_10_6_15_xAvVA,yes,MechanicalTurkProject,41.1792695,-73.1887863
1667,467,M,white,Farm Laborer,bach,5,4,Milbridge,suburban,4658,ME,44.5079099,-67.878004,Milbridge,suburban,4658,ME,44.5079099,-67.878004,Milbridge,4658.0,ME,2016_10_6_19_wvPWc,yes,MechanicalTurkProject,44.5353533,-67.881173
1669,469,M,white,Self-Employed(Pro Gamer),high,4,2,"Milford, MA",suburban,1757,MA,42.1586917,-71.5214188,"Milford, MA",suburban,1757,MA,42.1586917,-71.5214188,"Milford, MA",1757.0,MA,2016_10_7_13_dTMsa,no,MechanicalTurkProject,42.1428913,-71.5164618
1670,470,F,white,Administrative Assistant,somecoll,3,3,St. Johnsbury,rural,5819,VT,44.4047368,-71.9830753,St. Johnsbury,rural,5819,VT,44.4047368,-71.9830753,Concord,3301.0,NH,2016_10_7_14_Mklxi,yes,MechanicalTurkProject,43.207178,-71.537476
1671,471,F,white,marketing manager,bach,2,4,Dartmouth,suburban,2748,MA,41.5535737,-70.9711353,Dartmouth,suburban,2748,MA,41.5535737,-70.9711353,Boston (theatre district),2116.0,MA,2016_10_7_17_YgPkk,yes,MechanicalTurkProject,39.7470768,-104.9927017
1672,472,F,white,mental health,bach,4,4,fairfield,rural,4937,ME,44.6516533,-69.6612755,waterville,rural,4901,ME,44.5410987,-69.5730117,conway,3818.0,NH,2016_10_7_18_Ywzup,yes,MechanicalTurkProject,43.9784926,-71.1205372
1673,473,F,white,self employed health care,somecoll,4,3,NewBedford,urban,2740,MA,41.6374847,-70.9382651,Mattapoisett,suburban,2739,MA,41.665794,-70.814531,Dartmouth,2748.0,MA,2016_10_7_20_QYBYU,yes,MechanicalTurkProject,41.6332267,-70.9879928
1674,474,M,white,Bookseller,bach,3,4,Buxton,rural,4093,ME,43.6363874,-70.5388313,Buxton,rural,4093,ME,43.6363874,-70.5388313,Buxton,4093.0,ME,2016_10_8_7_XLcfg,yes,MechanicalTurkProject,43.612404,-70.540878
1675,475,M,white,Landscaper/Chef,high,4,2,pepperell,suburban,1463,MA,42.6706425,-71.6028575,pepperell,suburban,1463,MA,42.6706425,-71.6028575,groton,1450.0,MA,2016_10_8_9_crsLB,yes,MechanicalTurkProject,42.6112242,-71.5745402
1676,476,M,white,US Coast Guard Food Service Specialist,somecoll,3,3,Manchester,urban,6040,CT,41.7614154,-72.525608,Vernon,suburban,6066,CT,41.8375231,-72.4591228,Vernon,6066.0,CT,2016_10_8_15_gICQX,yes,MechanicalTurkProject,41.8382921,-72.4663331
1677,477,F,white,HR Generalist,grad,3,5,Mystic,rural,6355,CT,41.3668992,-71.9763715,Mystic,rural,6355,CT,41.3668992,-71.9763715,Groton,6340.0,CT,2016_10_8_18_RTUUZ,yes,MechanicalTurkProject,41.3454024,-72.0462196
1678,478,F,white,Assembly Worker,somecoll,5,3,Newport,rural,3773,NH,43.3713455,-72.2027889,Sunapee,rural,3782,NH,43.3900882,-72.0931293,Sunapee,3782.0,NH,2016_10_8_19_pAyPW,no,MechanicalTurkProject,43.3874615,-72.0876516
1679,479,F,white,Teacher,bach,3,4,"Hingham, MA",suburban,2043,MA,42.2160985,-70.8812702,Hingham,suburban,2043,MA,42.2160985,-70.8812702,Amherst,1002.0,MA,2016_10_8_20_eYfsn,yes,MechanicalTurkProject,42.3731948,-72.5198761
